journal,decade,total_faces,percent_contains_face
GDL,1790,3,15.0
GDL,1800,10,25.0
GDL,1810,2,7.6923076923076925
GDL,1820,1,3.125
GDL,1830,2,5.555555555555555
GDL,1840,0,0.0
GDL,1850,2,8.333333333333332
GDL,1860,1,4.166666666666666
GDL,1870,1,4.166666666666666
GDL,1880,1,4.166666666666666
GDL,1890,1,3.8461538461538463
GDL,1900,4,14.285714285714285
GDL,1910,4,13.333333333333334
GDL,1920,8,21.428571428571427
GDL,1930,8,21.428571428571427
GDL,1940,10,21.052631578947366
GDL,1950,8,16.666666666666664
GDL,1960,25,21.11111111111111
GDL,1970,14,14.285714285714285
GDL,1980,60,32.592592592592595
GDL,1990,115,35.57692307692308
